"listGender","listGenderTreatment","directGender","attentionCheck","gender","education","age","ageGroup","selfPlacement","motherTongue","region","weight"
2,1,1,1,"Man","University degree",61,"50-64",5,"French","Quebec",7.18792465614904e-06
2,1,1,1,"Man","University degree",32,"30-39",8,"English","Atlantic",1.9118164331311e-05
3,1,1,1,"Woman","University degree",37,"30-39",4,"English","Ontario",6.17918408606366e-05
4,0,1,1,"Man","University degree",35,"30-39",7,"English","Ontario",1.21633323142412e-05
1,0,1,1,"Woman","University degree",27,"18-29",6,"Other language","Ontario",3.7196662443284e-05
4,1,1,1,"Woman","College",28,"18-29",6,"French","Quebec",4.28647805681415e-05
1,0,1,1,"Woman","University degree",77,"65+",8,"French","Quebec",1.25786453858412e-05
1,0,1,1,"Man","College",56,"50-64",5,"French","Ontario",9.77832171351611e-05
2,0,0,1,"Man","College",33,"30-39",3,"English","West",7.37300855195855e-05
2,0,1,1,"Man","University degree",62,"50-64",10,"English","West",7.49642968522757e-06
2,1,1,1,"Woman","University degree",74,"65+",7,"Other language","Quebec",7.56410826174836e-06
1,1,1,1,"Man","University degree",63,"50-64",4,"English","Ontario",1.21662159575653e-05
1,1,0,1,"Man","College",73,"65+",2,"English","Ontario",6.78452284147424e-05
